,Question,Resolution,Answers,Reply,Correct
0,Need Ethernet access,Please connect the LAN cable to the red port on your workstation. Please write back to IT if you are unable to get the IP addresss,"First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",True
1,Create new account and share the username and password,"Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.","Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.","Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.",True
2,Request to create login credentials for Mr. Koti,We have already created account and details have been sent to his personal Email ID,Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,True
3,Request to create login credentials for Dr. Hasan,Account created and details sent to user's personal email ID,Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,True
4,FW: Myspace Login Issue-- Ania,"Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",True
5,Login credetials are not working.,"Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",True
6,New Account is needed for a new joinee.,"Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.","Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.","Go to URL : accountsetup.com, Enter personal details along with user id, enter OTP received, click finish. Check email for details.",True
7,Re: Unable to access outlook and myspace [user id: sdash],"We have reset the password and communicated to user in a mail already, now user is able to login. Hence marking the ticket resolved",Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,True
8,Unable to connect to internet using wifi network inn009,"inn009 is removed, connect to inn001. Connect IT helpdesk if any more issues.","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",True
9,Needs permission wifi access to laptop,"First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",True
10,LAN not working in a VM,changed network settings to Bridged and configured network in VM.,"First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",True
11,Wifi access needed.,"First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",True
12,server#11 got hanged and needed a restart,IT Team has restarted the server and its accessible now.,Login server was down. It is up now. Please check.,Login server was down. It is up now. Please check.,True
13,Linux VM for Azuba project,IT Team has created VM as per your requirement and configured accordingly and sent the login details in a separate mail.,Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,True
14,"Login credetials are not working, says username or password wrong.",Password got expired. New password is sent to your email id,Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,True
15,My Space QA application is down,We regret for the inconvinience caused. The issue is with Host server which got rebooted due to a power failure.,Login server was down. It is up now. Please check.,Login server was down. It is up now. Please check.,True
16,Login Page is not getting displayed,Login server was down. It is up now. Please check.,Login server was down. It is up now. Please check.,Login server was down. It is up now. Please check.,True
17,My Internet is not working,"Go to network tab from bottom right corner, choose inn001 network, click on connect","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",True
18,"Account got locked, because of 3 wrong attempts os password. Could you please reset the password",Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,True
19,Unable to connect to Internet,"Go to network tab from bottom right corner, choose inn001 network, click on connect","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",True
20,Facing network/internet issue with wifi xwq090,"Go to network tab from bottom right corner, choose inn001 network, click on connect","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access","First, connect a network cable to your laptop to the red port on your workstation. Run ipconfig /all on your command prompt. Share WiFi Mac or Hardware address to the IT team. IT team then adds your MAC ID to enable WiFi access",True
21,"Forgot the password, can you please reset the password for me.","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",True
22,MySpace Password Expiry,"Please reset the passowrd using self service Portal http://ssp.abc.com, Please write back to us if you face any issue.","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",True
23,Login Page not opening,Login server was down. It is up now. Please check.,Login server was down. It is up now. Please check.,Login server was down. It is up now. Please check.,True
24,Password expired.,"Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password","Go to URL : password.reset.com, Enter you login id, enter password received, reset the password",True
25,Account locked. Not able to login,Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,Unlocked the account and new password is sent to your email id.,True
26,How do I delete Internet cookies?,"Microsoft Internet Explorer users can go to 'Tools' (or the little cog icon in the top left), then go to 'Safety' and choose 'Delete browsing history...', you can then choose to delete your Internet cookies. In Google Chrome, go to 'More Tools' and choose 'Clear browsing data...'. Firefox users can go to 'History', then choose 'Clear recent history...'.","Microsoft Internet Explorer users can go to 'Tools' (or the little cog icon in the top left), then go to 'Safety' and choose 'Delete browsing history...', you can then choose to delete your Internet cookies. In Google Chrome, go to 'More Tools' and choose 'Clear browsing data...'. Firefox users can go to 'History', then choose 'Clear recent history...'.","Microsoft Internet Explorer users can go to 'Tools' (or the little cog icon in the top left), then go to 'Safety' and choose 'Delete browsing history...', you can then choose to delete your Internet cookies. In Google Chrome, go to 'More Tools' and choose 'Clear browsing data...'. Firefox users can go to 'History', then choose 'Clear recent history...'.",True
27,System showing blue screen on startup,"First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.",True
28,Desktop not working,"First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.",True
29,"System behaving strangely, blue screen is appearing in middle","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.",True
30,System hangs with blue screen on startup,"First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.",True
31,Computer is not getting switched on,"First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.",True
32,My Computer doesn?t power up,"First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.","First check the computer's power cord to make sure it is completely plugged into the wall socket. If you are using a plug strip, make sure it is completely plugged into the wall socket and that the power switch on the plug strip is turned on. Some plug strips also have a built in circuit breaker which usually looks like a black or red button near the power switch. Press the button to reset it and see if that solves the problem.",True
33,I am unable to send or receive email?,"Verify that your computer is able to see the Internet and/or other computers to ensure that your computer is not encountering a connection issue, which would be causing your e-mail issue. Ensure that your Internet e-mail server or your Network e-mail server is not encountering issues by contacting either your Internet Service Provider or your Network administrator.","Verify that your computer is able to see the Internet and/or other computers to ensure that your computer is not encountering a connection issue, which would be causing your e-mail issue. Ensure that your Internet e-mail server or your Network e-mail server is not encountering issues by contacting either your Internet Service Provider or your Network administrator.","Verify that your computer is able to see the Internet and/or other computers to ensure that your computer is not encountering a connection issue, which would be causing your e-mail issue. Ensure that your Internet e-mail server or your Network e-mail server is not encountering issues by contacting either your Internet Service Provider or your Network administrator.",True
34,The computer has no sound,"To place the volume icon in the system tray in the lower right of the desktop:
Place the mouse arrow on the Start button in the lower left corner.
Left mouse-click on Settings.
Left mouse-click on the Control Panel
Place the mouse arrow on the Multimedia icon . 
(In Windows XP, look for the Sounds and Audio Devices icon .) 
Double-left mouse click.
Left mouse-click on the Audio file tab.
","To place the volume icon in the system tray in the lower right of the desktop:
Place the mouse arrow on the Start button in the lower left corner.
Left mouse-click on Settings.
Left mouse-click on the Control Panel
Place the mouse arrow on the Multimedia icon . 
(In Windows XP, look for the Sounds and Audio Devices icon .) 
Double-left mouse click.
Left mouse-click on the Audio file tab.
","To place the volume icon in the system tray in the lower right of the desktop:
Place the mouse arrow on the Start button in the lower left corner.
Left mouse-click on Settings.
Left mouse-click on the Control Panel
Place the mouse arrow on the Multimedia icon . 
(In Windows XP, look for the Sounds and Audio Devices icon .) 
Double-left mouse click.
Left mouse-click on the Audio file tab.
",True
35,No sound is heard from audio (music) CDs,"To place the volume icon in the system tray in the lower right of the desktop:
Place the mouse arrow on the Start button in the lower left corner.
Left mouse-click on Settings.
Left mouse-click on the Control Panel
Place the mouse arrow on the Multimedia icon . 
(In Windows XP, look for the Sounds and Audio Devices icon .) 
Double-left mouse click.
Left mouse-click on the Audio file tab.
","To place the volume icon in the system tray in the lower right of the desktop:
Place the mouse arrow on the Start button in the lower left corner.
Left mouse-click on Settings.
Left mouse-click on the Control Panel
Place the mouse arrow on the Multimedia icon . 
(In Windows XP, look for the Sounds and Audio Devices icon .) 
Double-left mouse click.
Left mouse-click on the Audio file tab.
","To place the volume icon in the system tray in the lower right of the desktop:
Place the mouse arrow on the Start button in the lower left corner.
Left mouse-click on Settings.
Left mouse-click on the Control Panel
Place the mouse arrow on the Multimedia icon . 
(In Windows XP, look for the Sounds and Audio Devices icon .) 
Double-left mouse click.
Left mouse-click on the Audio file tab.
",True
